region,date,set,location,eel,Paired,comp,date_proc,proc,1_frac_corr,sz_frac,orgnsm,count,rel_abun,Sum
Fraser ,12-Jul-16,1.2,MRB SF FR 016,0,,0,,,,,NAN,,,
Fraser ,12-Jul-16,2.2,MRB SF FR 016,0,,0,,,,,NAN,,,
Fraser ,12-Jul-16,2.2,MRB FR 017B,1,,0,,,,,NAN,,,
Fraser ,12-Jul-16,1.2,MRB FR 017B (NEW),1,,0,,,,,NAN,,,
Fraser ,12-Jul-16,1.1,MRB SF FR 016,0,,1,20-Sep-16,MM,1,1,Cladoceran,11,0.070063694,157
Fraser ,12-Jul-16,1.1,MRB SF FR 016,0,,1,20-Sep-16,MM,1,1,Phyllodocida,12,0.076433121,157
Fraser ,12-Jul-16,1.1,MRB SF FR 016,0,,1,20-Sep-16,MM,1,1,Appendicularia,2,0.012738854,157
Fraser ,12-Jul-16,1.1,MRB SF FR 016,0,,1,20-Sep-16,MM,1,1,Harpac,76,0.484076433,157
Fraser ,12-Jul-16,1.1,MRB SF FR 016,0,,1,20-Sep-16,MM,1,1,Calanoid,46,0.292993631,157
Fraser ,12-Jul-16,1.1,MRB SF FR 016,0,,1,20-Sep-16,MM,1,1,Brachyura,2,0.012738854,157
Fraser ,12-Jul-16,1.1,MRB SF FR 016,0,,1,20-Sep-16,MM,1,1,Barnacle,8,0.050955414,1
Fraser ,12-Jul-16,2.1,MRB FR 017B (NEW),1,,1,22-Sep-16,MM,2.666666667,1,Gammarid,5.333333333,0.007905138,674.6666667
Fraser ,12-Jul-16,2.1,MRB FR 017B (NEW),1,,1,22-Sep-16,MM,2.666666667,1,Phyllodocida,5.333333333,0.007905138,
Fraser ,12-Jul-16,2.1,MRB FR 017B (NEW),1,,1,22-Sep-16,MM,2.666666667,1,Appendicularia,10.66666667,0.015810277,
Fraser ,12-Jul-16,2.1,MRB FR 017B (NEW),1,,1,22-Sep-16,MM,2.666666667,1,Harpac,104,0.154150198,
Fraser ,12-Jul-16,2.1,MRB FR 017B (NEW),1,,1,22-Sep-16,MM,2.666666667,1,Calanoid,546.6666667,0.81027668,
Fraser ,12-Jul-16,2.1,MRB FR 017B (NEW),1,,1,22-Sep-16,MM,2.666666667,1,Mysida,2.666666667,0.003952569,1
Fraser ,12-Jul-16,2.1,MRB SF FR 016,0,,1,20-Sep-16,MM,2,1,Cladoceran,8,0.078431373,102
Fraser ,12-Jul-16,2.1,MRB SF FR 016,0,,1,20-Sep-16,MM,2,1,Phyllodocida,16,0.156862745,
Fraser ,12-Jul-16,2.1,MRB SF FR 016,0,,1,20-Sep-16,MM,2,1,Appendicularia,2,0.019607843,
Fraser ,12-Jul-16,2.1,MRB SF FR 016,0,,1,20-Sep-16,MM,2,1,Harpac,36,0.352941176,
Fraser ,12-Jul-16,2.1,MRB SF FR 016,0,,1,20-Sep-16,MM,2,1,Calanoid,34,0.333333333,
Fraser ,12-Jul-16,2.1,MRB SF FR 016,0,,1,20-Sep-16,MM,2,1,Barnacle,6,0.058823529,
Fraser ,12-Jul-16,1.1,MRB FR 017B (NEW),1,,1,20-Sep-16,MM,2.222222222,1,Gammarid,4.444444444,0.009049774,491.1111111
Fraser ,12-Jul-16,1.1,MRB FR 017B (NEW),1,,1,20-Sep-16,MM,2.222222222,1,Cladoceran,17.77777778,0.036199095,
Fraser ,12-Jul-16,1.1,MRB FR 017B (NEW),1,,1,20-Sep-16,MM,2.222222222,1,Appendicularia,13.33333333,0.027149321,
Fraser ,12-Jul-16,1.1,MRB FR 017B (NEW),1,,1,20-Sep-16,MM,2.222222222,1,Harpac,371.1111111,0.755656109,
Fraser ,12-Jul-16,1.1,MRB FR 017B (NEW),1,,1,20-Sep-16,MM,2.222222222,1,Calanoid,77.77777778,0.158371041,
Fraser ,12-Jul-16,1.1,MRB FR 017B (NEW),1,,1,20-Sep-16,MM,2.222222222,1,Cumacea,2.222222222,0.004524887,
Fraser ,12-Jul-16,1.1,MRB FR 017B (NEW),1,,1,20-Sep-16,MM,2.222222222,1,Brachyura,4.444444444,0.009049774,
Fraser ,12-Jul-16,1.1,MRB FR 017B (NEW),1,,1,20-Sep-16,MM,2.222222222,1,Barnacle,20,0.040723982,
Fraser ,26-Jun-16,2.2,MRB FR 017B (NEW),1,,0,,,,,NAN,,,
Fraser ,25-Jun-16,1.2,MRB SF FR 016,0,,0,,,,,NAN,,,
Fraser ,25-Jun-16,1.2,MRB FR 017B,1,,0,,,,,NAN,,,
Fraser ,25-Jun-16,2.2,MRB SF FR 016 ,0,,0,,,,,NAN,,,
Fraser ,25-Jun-16,2.1,MRB SF FR 016,0,,1,21-Sep-16,MM,2.666666667,1,Cladoceran,2.667,0.003448705,773.3336667
Fraser ,25-Jun-16,2.1,MRB SF FR 016,0,,1,21-Sep-16,MM,2.666666667,1,Phyllodocida,13.33333333,0.017241372,
Fraser ,25-Jun-16,2.1,MRB SF FR 016,0,,1,21-Sep-16,MM,2.666666667,1,Appendicularia,58.66666667,0.075862036,
Fraser ,25-Jun-16,2.1,MRB SF FR 016,0,,1,21-Sep-16,MM,2.666666667,1,Cyclopoid,2.666666667,0.003448274,
Fraser ,25-Jun-16,2.1,MRB SF FR 016,0,,1,21-Sep-16,MM,2.666666667,1,Harpac,282.6666667,0.365517084,
Fraser ,25-Jun-16,2.1,MRB SF FR 016,0,,1,21-Sep-16,MM,2.666666667,1,Calanoid,386.6666667,0.499999784,
Fraser ,25-Jun-16,2.1,MRB SF FR 016,0,,1,21-Sep-16,MM,2.666666667,1,Mysida,2.666666667,0.003448274,
Fraser ,25-Jun-16,2.1,MRB SF FR 016,0,,1,21-Sep-16,MM,2.666666667,1,Cnetophora,13.33333333,0.017241372,
Fraser ,25-Jun-16,2.1,MRB SF FR 016,0,,1,21-Sep-16,MM,2.666666667,1,Echinoderm,10.66666667,0.013793098,
Fraser ,25-Jun-16,2.1,MRB FR 017B,1,,1,20-Sep-16,MM,2,10,Cnetophora,1,0.001070664,934
Fraser ,25-Jun-16,2.1,MRB FR 017B,1,,1,20-Sep-16,MM,2,2,Gammarid,2,0.002141328,
Fraser ,25-Jun-16,2.1,MRB FR 017B,1,,1,20-Sep-16,MM,2,2,Harpac,1,0.001070664,
Fraser ,25-Jun-16,2.1,MRB FR 017B,1,,1,20-Sep-16,MM,2,1,Gammarid,10,0.010706638,
Fraser ,25-Jun-16,2.1,MRB FR 017B,1,,1,20-Sep-16,MM,2,1,Cladoceran,22,0.023554604,
Fraser ,25-Jun-16,2.1,MRB FR 017B,1,,1,20-Sep-16,MM,2,1,Phyllodocida,10,0.010706638,
Fraser ,25-Jun-16,2.1,MRB FR 017B,1,,1,20-Sep-16,MM,2,1,Appendicularia,30,0.032119914,
Fraser ,25-Jun-16,2.1,MRB FR 017B,1,,1,20-Sep-16,MM,2,1,Harpac,364,0.389721627,
Fraser ,25-Jun-16,2.1,MRB FR 017B,1,,1,20-Sep-16,MM,2,1,Calanoid,484,0.518201285,
Fraser ,25-Jun-16,2.1,MRB FR 017B,1,,1,20-Sep-16,MM,2,1,Barnacle,10,0.010706638,1
Fraser ,25-Jun-16,1.1,MRB SF FR 016,0,,1,22-Sep-16,MM,1,1,Cladoceran,3,0.004958678,605
Fraser ,25-Jun-16,1.1,MRB SF FR 016,0,,1,22-Sep-16,MM,1,1,Phyllodocida,7,0.011570248,
Fraser ,25-Jun-16,1.1,MRB SF FR 016,0,,1,22-Sep-16,MM,1,1,Appendicularia,41,0.067768595,
Fraser ,25-Jun-16,1.1,MRB SF FR 016,0,,1,22-Sep-16,MM,1,1,Harpac,248,0.409917355,
Fraser ,25-Jun-16,1.1,MRB SF FR 016,0,,1,22-Sep-16,MM,1,1,Calanoid,281,0.46446281,
Fraser ,25-Jun-16,1.1,MRB SF FR 016,0,,1,22-Sep-16,MM,1,1,Mysida,3,0.004958678,
Fraser ,25-Jun-16,1.1,MRB SF FR 016,0,,1,22-Sep-16,MM,1,1,Echinoderm,6,0.009917355,
Fraser ,25-Jun-16,1.1,MRB SF FR 016,0,,1,22-Sep-16,MM,1,1,Barnacle,16,0.026446281,1
Fraser ,25-Jun-16,1.1,MRB FR 017B,1,,1,27-Sep-16,MM,8,2,Gammarid,5,0.002003205,2496
Fraser ,25-Jun-16,1.1,MRB FR 017B,1,,1,27-Sep-16,MM,8,2,Cladoceran,2,0.000801282,
Fraser ,25-Jun-16,1.1,MRB FR 017B,1,,1,27-Sep-16,MM,8,1,Gammarid,32,0.012820513,
Fraser ,25-Jun-16,1.1,MRB FR 017B,1,,1,27-Sep-16,MM,8,1,Cladoceran,56,0.022435897,
Fraser ,25-Jun-16,1.1,MRB FR 017B,1,,1,27-Sep-16,MM,8,1,Phyllodocida,24,0.009615385,
Fraser ,25-Jun-16,1.1,MRB FR 017B,1,,1,27-Sep-16,MM,8,1,Appendicularia,32,0.012820513,
Fraser ,25-Jun-16,1.1,MRB FR 017B,1,,1,27-Sep-16,MM,8,1,Harpac,952,0.381410256,
Fraser ,25-Jun-16,1.1,MRB FR 017B,1,,1,27-Sep-16,MM,8,1,Calanoid,1368,0.548076923,
Fraser ,25-Jun-16,1.1,MRB FR 017B,1,,1,27-Sep-16,MM,8,1,Barnacle,24,0.009615385,
